Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
78,Glenn Hubbard,25,ATL,NL,2.9,148,592,517,65,136,24,6,12,70,3,8,55,71,0.263,0.334,0.402,0.737,98,0.344,102,208,12,4,9,7,2,*4/H,AS,hubbagl01
79,Omar Moreno*,30,2TM,2LG,1.6,145,592,557,65,136,21,12,1,42,37,16,30,103,0.244,0.284,0.33,0.614,74,0.29,71,184,6,1,3,1,3,*8/H,,morenom01
80,Pete O'Brien*,25,TEX,AL,1.3,154,588,524,53,124,24,5,8,53,5,4,58,62,0.237,0.313,0.347,0.66,85,0.31,85,182,12,1,3,2,2,*39H/7D,,o'bripe03
81,Dave Parker*,32,PIT,NL,0.2,144,586,552,68,154,29,4,12,69,12,9,28,89,0.279,0.311,0.411,0.722,97,0.33,94,227,11,0,0,6,6,*9/H,,parkeda01
82,Alan Wiggins#,25,SDP,NL,4.1,144,585,503,83,139,20,2,0,22,66,13,65,43,0.276,0.36,0.324,0.684,94,0.348,97,163,3,1,16,0,3,7839/H,,wiggial01
83,Eddie Milner*,28,CIN,NL,4.1,146,584,502,77,131,23,6,9,33,41,12,68,60,0.261,0.35,0.384,0.734,101,0.353,103,193,11,1,12,1,2,*8H,,milneed01
84,Kent Hrbek*,23,MIN,AL,3,141,582,515,75,153,41,5,16,84,4,6,57,71,0.297,0.366,0.489,0.855,131,0.387,136,252,12,3,0,7,5,*3/HD,,hrbekke01
85,Alan Trammell,25,DET,AL,6,142,581,505,83,161,31,2,14,66,30,10,57,64,0.319,0.385,0.471,0.856,138,0.396,144,238,7,0,15,4,2,*6/H,MVP-15GG,trammal01
86,Julio Cruz#,28,2TM,AL,2.4,160,581,515,71,130,19,5,3,52,57,12,49,66,0.252,0.318,0.326,0.644,76,0.32,75,168,12,4,5,7,1,*4/HD,MVP-24,cruzju01
87,Tony Peña,26,PIT,NL,4.1,151,580,542,51,163,22,3,15,70,6,7,31,73,0.301,0.338,0.435,0.773,111,0.355,114,236,13,0,6,1,8,*2/H,MVP-12GG,penato01
88,Frank White,32,KCR,AL,1.6,146,579,549,52,143,35,6,11,77,13,5,20,51,0.26,0.283,0.406,0.69,88,0.309,80,223,18,0,4,6,4,*4/H,,whitefr01
89,Jack Clark,27,SFG,NL,3.9,135,574,492,82,132,25,0,20,66,5,3,74,79,0.268,0.361,0.441,0.802,125,0.374,131,217,14,1,0,7,6,*9/3H,,clarkja01
90,Chet Lemon,28,DET,AL,6.2,145,573,491,78,125,21,5,24,69,0,7,54,70,0.255,0.35,0.464,0.814,126,0.368,131,228,11,20,4,4,1,*8/9H,,lemonch01
91,Alfredo Griffin#,25,TOR,AL,0,162,572,528,62,132,22,9,4,47,8,11,27,44,0.25,0.289,0.348,0.637,71,0.293,68,184,5,3,11,3,0,*6/4DH,,griffal01
92,Ron Kittle,25,CHW,AL,1.9,145,570,520,75,132,19,3,35,100,8,3,39,150,0.254,0.314,0.504,0.818,118,0.364,115,262,10,8,0,3,8,*7/HD8,ASROY-1,kittlro01
93,Ray Knight,30,HOU,NL,3.1,145,567,507,43,154,36,4,9,70,0,3,42,62,0.304,0.355,0.444,0.798,128,0.356,124,225,17,4,3,11,9,*3/H,,knighra01
94,Mike Hargrove*,33,CLE,AL,1.7,134,566,469,57,134,21,4,3,57,0,6,78,40,0.286,0.388,0.367,0.755,107,0.352,112,172,11,5,7,7,5,*3/HD,,hargrmi01
95,Iván de Jesús,30,PHI,NL,1.1,158,565,497,60,126,15,7,4,45,11,4,53,77,0.254,0.323,0.336,0.659,84,0.303,74,167,7,0,11,4,18,*6,,dejesiv01
96,Dámaso García,26,TOR,AL,1.1,131,561,525,84,161,23,6,3,38,31,17,24,34,0.307,0.336,0.39,0.727,95,0.332,92,205,10,2,5,5,3,*4/H,,garcida01
97,Davey Lopes,38,OAK,AL,2.8,147,561,494,64,137,13,4,17,67,22,4,51,61,0.277,0.341,0.423,0.764,116,0.352,115,209,9,2,4,10,7,*4DH/598,,lopesda01
98,Jeffrey Leonard,27,SFG,NL,3.5,139,558,516,74,144,17,7,21,87,26,7,35,116,0.279,0.323,0.461,0.784,118,0.366,120,238,10,1,0,6,2,*78/H9,MVP-20,leonaje01
99,Ken Oberkfell*,27,STL,NL,3.3,151,557,488,62,143,26,5,3,38,12,6,61,27,0.293,0.371,0.385,0.756,110,0.353,111,188,12,1,4,3,5,*54H/6,,oberkke01
100,Pete Rose#,42,PHI,NL,-2.1,151,555,493,52,121,14,3,0,45,7,7,52,28,0.245,0.316,0.286,0.602,69,0.288,67,141,11,2,1,7,5,*39H/7,,rosepe01
101,Chili Davis#,23,SFG,NL,1.6,137,554,486,54,113,21,2,11,59,10,12,55,108,0.233,0.305,0.352,0.657,85,0.299,80,171,9,0,3,9,6,*89/H,,davisch01
102,Rudy Law*,26,CHW,AL,3.2,141,551,501,95,142,20,7,3,34,77,12,42,36,0.283,0.34,0.369,0.709,93,0.363,98,185,4,2,4,2,2,*8H/D,MVP-21,lawru01
103,Jody Davis,26,CHC,NL,2.6,151,550,510,56,138,31,2,24,84,0,2,33,93,0.271,0.315,0.48,0.795,114,0.359,114,245,16,2,0,5,5,*2/H,MVP-21,davisjo02
104,Lonnie Smith,27,STL,NL,3.5,130,547,492,83,158,31,5,8,45,43,18,41,55,0.321,0.381,0.453,0.834,130,0.392,137,223,11,9,1,4,2,*7/H,MVP-21,smithlo01
105,Dwayne Murphy*,28,OAK,AL,1.7,130,546,471,55,107,17,2,17,75,7,5,62,105,0.227,0.314,0.38,0.694,96,0.316,94,179,16,0,7,6,4,*8/D7H,GG,murphdw01
106,Larry Bowa#,37,CHC,NL,3,147,545,499,73,133,20,5,2,43,7,3,35,30,0.267,0.312,0.339,0.651,78,0.317,81,169,3,0,6,4,1,*6/H,,bowala01
107,Carlton Fisk,35,CHW,AL,4.3,138,545,488,85,141,26,4,26,86,9,6,46,88,0.289,0.355,0.518,0.874,134,0.385,132,253,8,6,2,3,3,*2H/D,MVP-3,fiskca01
108,Dwight Evans,31,BOS,AL,1.2,126,544,470,74,112,19,4,22,58,3,0,70,97,0.238,0.338,0.436,0.774,106,0.353,105,205,12,2,0,2,5,9D/H,GG,evansdw01
109,Greg Brock*,26,LAD,NL,0.8,146,543,455,64,102,14,2,20,66,5,1,83,81,0.224,0.343,0.396,0.738,106,0.337,100,180,13,1,0,4,12,*3/H,ROY-7,brockgr01
110,Claudell Washington*,28,ATL,NL,0.2,134,538,496,75,138,24,8,9,44,31,9,35,103,0.278,0.322,0.413,0.735,97,0.347,95,205,8,0,1,6,6,*9/H7,,washicl01
111,Rod Carew*,37,CAL,AL,2.3,129,536,472,66,160,24,2,2,44,6,7,57,48,0.339,0.409,0.411,0.82,128,0.375,132,194,15,1,3,3,9,3DH/4,AS,carewro01
112,Glenn Wilson,24,DET,AL,2.6,144,533,503,55,135,25,6,11,65,1,1,25,79,0.268,0.306,0.408,0.713,98,0.336,104,205,9,3,0,2,1,*9/H87,,wilsogl01
113,Gary Redus,26,CIN,NL,2.8,125,531,453,90,112,20,9,17,51,39,14,71,111,0.247,0.352,0.444,0.795,117,0.375,121,201,6,3,2,2,4,*7/H,ROY-4,redusga01
114,Bill Madlock,32,PIT,NL,2.4,130,530,473,68,153,21,0,12,68,3,4,49,24,0.323,0.386,0.444,0.83,127,0.38,131,210,16,2,1,5,10,*5/H,ASMVP-8,madlobi01
115,Gary Matthews,32,PHI,NL,0.1,132,526,446,66,115,18,2,10,50,13,9,69,81,0.258,0.352,0.374,0.727,103,0.344,108,167,8,0,4,7,3,*7H,,matthga01
116,George Brett*,30,KCR,AL,4.3,123,525,464,90,144,38,2,25,93,0,1,57,39,0.31,0.385,0.563,0.947,158,0.415,158,261,9,1,0,3,13,53/97DH,AS,brettge01
117,Ken Landreaux*,28,LAD,NL,3.1,141,524,481,63,135,25,3,17,66,30,11,34,52,0.281,0.328,0.451,0.779,115,0.357,113,217,9,2,2,5,5,*8/7H9,,landrke01
118,Dave Henderson,24,SEA,AL,1.9,137,521,484,50,130,24,5,17,55,9,3,28,93,0.269,0.306,0.444,0.751,101,0.344,101,215,5,1,2,6,3,*89/HD,,hendeda01
119,Wayne Tolleson#,27,TEX,AL,0.8,134,521,470,64,122,13,2,3,20,33,10,40,68,0.26,0.319,0.315,0.634,78,0.31,80,148,8,2,7,2,0,*46/HD,,tollewa01
120,Rich Dauer,30,BAL,AL,0.2,140,520,459,49,108,19,0,5,41,1,1,47,29,0.235,0.306,0.309,0.615,72,0.297,74,142,20,2,7,5,2,*45/H,,dauerri01
121,Roy Smalley#,30,NYY,AL,2.9,130,520,451,70,124,24,1,18,62,3,3,58,68,0.275,0.357,0.452,0.81,126,0.365,126,204,9,2,5,4,2,653/H,,smallro02
122,Graig Nettles*,38,NYY,AL,2.5,129,519,462,56,123,17,3,20,75,0,1,51,65,0.266,0.341,0.446,0.787,119,0.362,124,206,9,3,0,3,2,*5/HD,,nettlgr01
123,Darrell Porter*,31,STL,NL,3.9,145,519,443,57,116,24,3,15,66,1,3,68,94,0.262,0.363,0.431,0.794,119,0.357,116,191,8,4,1,3,12,*2H,,porteda02
124,Glenn Hoffman,24,BOS,AL,0.3,143,518,473,56,123,24,1,4,41,1,1,30,76,0.26,0.306,0.34,0.646,73,0.308,74,161,5,2,11,2,1,*6,,hoffmgl01
125,Mike Marshall,23,LAD,NL,1.3,140,518,465,47,132,17,1,17,65,7,3,43,127,0.284,0.347,0.434,0.782,117,0.365,121,202,8,5,0,5,4,*93/H,,marshmi02
126,Pat Putnam*,29,SEA,AL,0.7,144,517,469,58,126,23,2,19,67,2,1,39,57,0.269,0.326,0.448,0.773,108,0.347,104,210,12,3,1,5,8,*3HD,,putnapa01
127,Bo Díaz,30,PHI,NL,2.2,136,516,471,49,111,17,0,15,64,1,4,38,57,0.236,0.295,0.367,0.662,84,0.32,91,173,10,2,4,1,4,*2/H,,diazbo01
128,Chris Chambliss*,34,ATL,NL,0.8,131,514,447,59,125,24,3,20,78,2,7,63,68,0.28,0.366,0.481,0.847,126,0.369,121,215,8,0,0,3,15,*3/H,,chambch01
129,Terry Puhl*,26,HOU,NL,3.4,137,512,465,66,136,25,7,8,44,24,11,36,48,0.292,0.343,0.428,0.771,120,0.361,124,199,4,2,5,4,2,*9H8,,puhlte01
130,Luis Salazar,27,SDP,NL,1.6,134,510,481,52,124,16,2,14,45,24,9,17,80,0.258,0.285,0.387,0.672,87,0.315,84,186,4,2,8,2,8,*56H,,salazlu01
131,Bob Boone,35,CAL,AL,1.8,142,509,468,46,120,18,0,9,52,4,3,24,42,0.256,0.289,0.353,0.641,77,0.298,74,165,19,0,10,7,1,*2,AS,boonebo01
132,Joe Morgan*,39,PHI,NL,3.2,123,504,404,72,93,20,1,16,59,18,2,89,54,0.23,0.37,0.403,0.773,116,0.373,122,163,13,4,1,6,1,*4H,,morgajo02
133,Bill Russell,34,LAD,NL,1.8,131,502,451,47,111,13,1,1,30,13,9,33,31,0.246,0.302,0.286,0.588,65,0.296,72,129,5,4,12,2,4,*6/H,,russebi01
134,Fred Lynn*,31,CAL,AL,1.6,117,500,437,56,119,20,3,22,74,2,2,55,83,0.272,0.352,0.483,0.835,129,0.367,124,211,7,2,0,6,10,*8/HD,AS,lynnfr01
135,Ken Griffey*,33,NYY,AL,2.5,118,499,458,60,140,21,3,11,46,6,1,34,45,0.306,0.355,0.437,0.792,121,0.369,126,200,3,2,3,2,3,38/H7D9,,griffke01
136,Bill Almon,30,OAK,AL,0.6,143,495,451,45,120,29,1,4,63,26,8,26,67,0.266,0.302,0.361,0.663,88,0.315,89,163,8,2,5,11,3,653H9/74D8,,almonbi01
137,Bruce Benedict,27,ATL,NL,2.5,134,494,423,43,126,13,1,2,43,1,3,61,24,0.298,0.385,0.348,0.733,99,0.338,95,147,12,1,4,3,16,*2,AS,benedbr01
